rank,scaler,class_weight,c_value,threshold,accuracy,precision_archeologique,recall_archeologique,f1_archeologique,fold_f1_mean,fold_f1_std,false_negatives,false_positives,true_positives,true_negatives
338,robust,none,3.0,0.55,0.7636986301369864,0.7283950617283951,0.5566037735849056,0.6310160427807486,0.5885732785732786,0.291715881945152,47,22,59,164
339,robust,balanced,0.1,0.6,0.7671232876712328,0.7435897435897436,0.5471698113207547,0.6304347826086957,0.596035816035816,0.28612708202627357,48,20,58,166
340,robust,balanced,3.0,0.65,0.7671232876712328,0.7435897435897436,0.5471698113207547,0.6304347826086957,0.591100751100751,0.2916115756410631,48,20,58,166
341,robust,balanced,10.0,0.65,0.7671232876712328,0.7435897435897436,0.5471698113207547,0.6304347826086957,0.591100751100751,0.2916115756410631,48,20,58,166
342,robust,none,0.3,0.55,0.7671232876712328,0.7435897435897436,0.5471698113207547,0.6304347826086957,0.5912739112739113,0.29971307863402086,48,20,58,166
343,robust,none,10.0,0.6,0.7671232876712328,0.7435897435897436,0.5471698113207547,0.6304347826086957,0.591100751100751,0.2916115756410631,48,20,58,166
344,none,none,0.01,0.5,0.7773972602739726,0.7971014492753623,0.5188679245283019,0.6285714285714286,0.5518607318607318,0.3241135170776999,51,14,55,172
345,robust,none,10.0,0.55,0.7602739726027398,0.7195121951219512,0.5566037735849056,0.6276595744680851,0.5852399452399452,0.28955862939725224,47,23,59,163
346,robust,none,1.0,0.55,0.7636986301369864,0.7341772151898734,0.5471698113207547,0.6270270270270271,0.587000407000407,0.2966727579302087,48,21,58,165
347,robust,balanced,0.1,0.65,0.7705479452054794,0.7671232876712328,0.5283018867924528,0.6256983240223464,0.5797587597587597,0.2908892988264184,50,17,56,169
348,none,balanced,0.3,0.7,0.7705479452054794,0.7671232876712328,0.5283018867924528,0.6256983240223464,0.5683072322202758,0.3068519596506199,50,17,56,169
349,robust,balanced,0.03,0.65,0.7773972602739726,0.8059701492537313,0.5094339622641509,0.6242774566473989,0.5752708179333568,0.2941861623722328,52,13,54,173
350,normalizer,balanced,3.0,0.3,0.5958904109589042,0.47115384615384615,0.9245283018867925,0.6242038216560509,0.6318634922529337,0.16445191817256585,8,110,98,76
351,robust,balanced,1.0,0.6,0.7602739726027398,0.725,0.5471698113207547,0.6236559139784946,0.5836670736670737,0.2945340108829671,48,22,58,164
352,robust,balanced,10.0,0.7,0.7636986301369864,0.7402597402597403,0.5377358490566038,0.6229508196721312,0.584030044030044,0.2869002062785679,49,20,57,166
353,robust,none,3.0,0.6,0.7636986301369864,0.7402597402597403,0.5377358490566038,0.6229508196721312,0.5861945461945461,0.2944728161169763,49,20,57,166
